"","DayNeg8","DayNeg4","Day0","DayPos1","DayPos7","DayPos16","DayPos21","DayPos28"
"PRKCQ",-0.8672153342,-0.6801443038,0.7675977843,0.6583554264,1.8998713969,-0.3392928034,-0.7546850198,-0.6844871465
"PRKCSH",-0.3539438279,0.0100103663,1.9979104271,0.9238735964,-0.1239665671,-0.8717892593,-0.7554175744,-0.8266771609
"PRKDC",1.5234496646,1.5805995486,0.1478370326,-0.4821498479,-0.6209590793,-0.683018124,-0.7241337884,-0.7416254062
"PRKG1",-0.8221127072,-0.7774709543,0.4438450879,2.2612890974,-0.0198502019,-0.2590024498,-0.4184372817,-0.4082605903
"PRKG2",-0.6299425489,-0.6260464991,2.4146255521,-0.1185860152,-0.5118922405,-0.2617658446,-0.1142029592,-0.1521894446
"PRKX",-0.6533539892,-0.6464912142,0.2483699155,1.7379358505,1.3118705911,-0.5637071788,-0.6661952891,-0.7684286857
"PRLHR",-0.3720695489,-0.1836799039,-0.1836799039,0.1930993861,2.2277075524,0.1930993861,-0.937238484,-0.937238484
"PRLR",-1.063226462,-0.845303627,-0.5611255166,-0.8439759134,1.8005733475,0.782567978,0.3079341059,0.4225560877
"PRMT1",1.2784387741,-0.2379171574,0.7867627349,0.7788852588,0.665041296,-0.9608279387,-0.9987835262,-1.3115994413
"PRMT2",-1.090467079,-1.1987119501,-0.765353343,-0.2209870848,1.6915483297,0.6832468394,0.5030691755,0.3976551124
"PRMT3",1.8927487842,1.0449317926,-0.0421331861,-0.5926636133,0.1189685631,-0.8533729825,-0.7761307098,-0.7923486481
"PRMT5",1.9499716779,0.6264927066,0.227237223,-0.4462882867,0.3205134193,-0.7457028128,-0.8461928998,-1.0860310276
"PRMT7",1.7331890118,1.4025121124,-0.1725150332,-0.9458781978,-0.3752871708,-0.5410792283,-0.3702967427,-0.7306447514
"PRMT8",-1.4083513957,-1.4338581234,-0.210157201,0.0500259646,0.1085847128,0.8051022953,1.2349980535,0.8536556939
"PRND",1.7606881786,0.5495691589,-0.5978067546,0.231809774,0.8053065014,-1.0121369455,-0.8209076266,-0.9165222861
"PRNP",-1.5188073038,-1.4193388892,-0.1988071899,0.5674274441,0.3143690351,0.3053481046,0.6400456557,1.3097631434
"PRODH",1.7650049072,0.9035939998,0.7301213195,-0.3460045476,-0.5110382922,-0.865147054,-0.8534759142,-0.8230544184
"PRODH2",2.3217653199,0.5073843991,-0.3917778272,-0.5202295738,-0.4046230018,-0.5202295738,-0.4720601688,-0.5202295738
"PROK2",0.7936289669,-0.6192926684,-0.9839176065,-1.0864683704,1.8054631703,0.4517930874,0.2125079718,-0.5737145511
"PROKR2",-0.8231472049,-0.7658118572,0.397276624,0.3317505123,2.199048115,-0.29484293,-0.5282797026,-0.5159935567
"PROM1",-0.3385478342,0.126152639,2.3156773427,0.2476535901,-0.3696314829,-0.6406819675,-0.6657207079,-0.6749015793
"PROS1",-0.3704802512,-0.4146842138,2.3898327977,0.2616177957,-0.3052411035,-0.4894288764,-0.5813238579,-0.4902922906
"PROX1",-0.7271590481,-0.6601888038,1.4803645729,1.7250052482,-0.2790321326,-0.4900762495,-0.5165647435,-0.5323488437
"PROZ",-1.1923168067,-1.045034551,-0.8308058153,0.5215130783,1.7185161386,0.7223525179,-0.0943945366,0.2001699748
"PRPF19",-0.5781316497,-0.4883179374,1.815411073,1.269350744,-0.1505667,-0.9830080402,-0.7069300434,-0.1778074464
"PRPF3",1.8525288899,0.6715166047,0.5746395952,0.0839830036,-0.3769414039,-1.0123033882,-0.9462687482,-0.8471545532
"PRPF31",1.6861621753,0.1677473962,1.18908039,0.0533539122,-0.2905695334,-0.8877808059,-0.9555251851,-0.9624683493
"PRPF38B",1.1080832557,0.6707867775,1.0156231132,0.6962887041,-0.1519459791,-1.2964165126,-1.1116711534,-0.9307482054
"PRPF39",-0.623638296,-0.1922453314,1.5708601046,0.084541013,1.4413512888,-0.7322424951,-1.1528458779,-0.395780406
"PRPF4",1.5015560827,0.592536758,1.1723434378,0.0079188153,-0.3195648438,-1.0375248098,-0.9183532428,-0.9989121975
"PRPF40A",1.2999671862,0.5572545938,1.0512147314,0.6867015536,-0.5201736519,-1.0095858897,-1.0226225362,-1.0427559871
"PRPF40B",-0.5790525412,-0.2665132694,0.0270502676,-0.5827425566,2.4004126468,-0.5527956617,-0.4307441092,-0.0156147763
"PRPF4B",-0.979951597,-0.3261869839,1.6247279085,0.9038206632,0.8605208541,-0.9158840455,-0.9124044647,-0.2546423346
"PRPH",0.3687140716,1.0474179946,1.8121857615,-0.3015839987,-0.4073988492,-0.6062824208,-0.8370313159,-1.0760212431
