index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
21,DDX21,1,2.64548578868,-0.141916340512,-0.178910105636,-0.317703874068,-0.486331592955,-0.241986374974,-0.352922157122,-0.452470294949,-0.473245048467
22,DGCR8,1,2.26547280893,0.783065116089,-0.31055448781,-0.529020171681,-0.675200672102,-0.927694892656,-0.692287896798,-0.155185501268,0.241405697293
23,DLGAP3,1,2.40216619372,0.273657867236,0.0973122829256,-0.391446313349,-1.11989859499,-0.727014201567,-0.280493357559,-0.348817232194,0.0945333557836
24,DNAH11,1,1.73635202109,-1.26967091101,-0.76790572134,0.946012354389,0.696359706149,-0.120765121203,-0.994870324209,0.319507237485,-0.545019241352
25,DRD3,1,2.651769264,-0.381766328086,-0.443604627673,-0.239837680043,-0.173012716195,-0.443604627673,-0.443604627673,-0.208181417489,-0.318157239172
26,EDN1,1,2.63562926125,-0.387565358793,-0.607948271293,-0.286743315224,-0.453035461128,-0.196289163076,-0.0907321000293,-0.231332586161,-0.381983005547
27,FADS2,1,1.34678176491,-0.475009568091,-0.513244120964,-0.480186952912,0.369015983116,1.89818392491,-0.429561684484,-1.04567950022,-0.670299846273
28,FAM189A2,1,2.62191947062,-0.632200056939,-0.458010172251,-0.280787870969,-0.419783860651,-0.320769173266,-0.322042003847,-0.229607662397,0.0412813297041
29,FGF2,1,2.60056410008,0.122389851724,-0.226591366104,-0.610109879446,-0.487671696487,-0.558253937717,-0.375419817751,-0.236249266595,-0.228657987701
30,FLNA,1,2.60260014367,-0.322156407915,-0.444257368852,-0.462425469553,-0.520022324176,-0.0550730414077,-0.0248835177666,-0.649608599419,-0.124173414585
31,GABRA1,1,2.64129994606,-0.5086845513,-0.431787651911,-0.444830418439,-0.357574235483,-0.360887507995,-0.243357018513,-0.24675789628,-0.0474206661346
32,GABRA5,1,2.65895707777,-0.412027190115,-0.378726799874,-0.367655018328,-0.375447476741,-0.29592075152,-0.330761529327,-0.347781861832,-0.150636450031
33,GABRB3,1,2.65893317452,-0.364274625023,-0.311185871838,-0.355616939201,-0.401736234589,-0.411977527516,-0.365821083409,-0.289886981317,-0.158433911628
34,GAL,1,2.66662794812,-0.338524296698,-0.328756990964,-0.322321193246,-0.337520163503,-0.335436164652,-0.339452454928,-0.333218622181,-0.33139806195
